,Medicine Name ,Medicine MF,Medicine MW,IUPAC Name,Compound CID ,Create Date
0,1809249-37-3; 3QKI37EEHE; GS 5734; GS 5734 [WHO-DD]; GS-5734; ...,C27H35N6O8P,C27H35N6O8P,Isomeric SMILES: CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,121304016,  2016-08-06
1,chloroquine; 54-05-7; Aralen; Chlorochin; Chloraquine; ...,C18H26ClN3,C18H26ClN3,Isomeric SMILES: CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2719,  2005-03-25
2,ritonavir; 155213-67-5; Norvir; ABT-538; Abbott 84538; ...,C37H48N6O5S2,C37H48N6O5S2,Isomeric SMILES: CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,392622,  2005-03-26
3,"Fingolimod; 162359-55-9; 2-Amino-2-[2-(4-octylphenyl)ethyl]propane-1,3-diol; 2-Amino-2-(4-octylphenethyl)propane-1,3-diol; 2-Amino-2-[2-(4-octylphenyl)ethyl]-1,3-propanediol; ...",C19H33NO2,C19H33NO2,Isomeric SMILES: CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,107970,  2005-08-08
4,N4-Hydroxycytidine; N(4)-Hydroxycytidine; Beta-D-N4-hydroxycytidine; EIDD-1931; N-hydroxycytidine; ...,C9H13N3O6,C9H13N3O6,Isomeric SMILES: C1=CN(C(=O)N=C1NO)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,197020,  2005-08-01
5,"Favipiravir; 259793-96-9; 6-FLUORO-3-HYDROXYPYRAZINE-2-CARBOXAMIDE; 6-fluoro-3-oxo-3,4-dihydropyrazine-2-carboxamide; T-705; ...",C5H4FN3O2,C5H4FN3O2,Isomeric SMILES: C1=C(N=C(C(=O)N1)C(=O)N)F,492405,  2005-08-01
6,azithromycin; Zithromax; 83905-01-5; Sumamed; Hemomycin; ...,C38H72N2O12,C38H72N2O12,Isomeric SMILES: CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,447043,  2005-06-24
7,Galidesivir; 249503-25-1; IMMUCILLIN A; Immucillin-A; BCX4430; ...,C11H15N5O3,C11H15N5O3,Isomeric SMILES: C1=C(C2=C(N1)C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O,10445549,  2006-10-25
8,Baricitinib; 1187594-09-7; INCB028050; olumiant; LY3009104; ...,C16H17N7O2S,C16H17N7O2S,Isomeric SMILES: CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,44205240,  2009-09-28
9,Riamilovir; Triazavirin; 123606-06-4; UNII-F2HTG1MH2D; F2HTG1MH2D; ...,C5H4N6O3S,C5H4N6O3S,Isomeric SMILES: CSC1=NC2=NN=C(C(=O)N2N1)[N+](=O)[O-],3113817,  2005-08-09
10,Lopinavir; 192725-17-0; ABT-378; Aluviran; Koletra; ...,C37H48N4O5,C37H48N4O5,Isomeric SMILES: CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,92727,  2005-06-01
11,Darunavir; 206361-99-1; Prezista; TMC114; TMC-114; ...,C27H37N3O7S,C27H37N3O7S,Isomeric SMILES: CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,213039,  2005-06-24
12,dexamethasone; 50-02-2; Decadron; Maxidex; Dexamethazone; ...,C22H29FO5,C22H29FO5,Isomeric SMILES: C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,5743,  2005-03-26
13,Arbidol; umifenovir; 131707-25-0; ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-(phenylsulfanylmethyl)indole-3-carboxylate; UNII-93M09WW4RU; ...,C22H25BrN2O3S,C22H25BrN2O3S,Isomeric SMILES: CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,131411,  2005-07-09
14,methylprednisolone; 83-43-2; Medrol; Metilprednisolone; Medrone; ...,C22H30O5,C22H30O5,Isomeric SMILES: C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,6741,  2005-03-26
15,TMC310911; 1000287-05-7; TMC-310911; UNII-0151W500HP; 0151W500HP; ...,C38H53N5O7S2,C38H53N5O7S2,Isomeric SMILES: CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC5=C(C=C4)N=C(S5)NC6CCN(CC6)C7CCCC7,53361968,  2011-09-21
16,Elbasvir; 1370468-36-2; MK-8742; UNII-632L571YDK; MK 8742; ...,C49H55N9O7,C49H55N9O7,Isomeric SMILES: CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,71661251,  2013-08-26
17,hydroxychloroquine; 118-42-3; Plaquenil; Oxichloroquine; Hidroxicloroquina; ...,C18H26ClN3O,C18H26ClN3O,Isomeric SMILES: CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,3652,  2005-03-25
18,"Ruxolitinib; 941678-49-5; INCB018424; Ruxolitinib (INCB018424); (R)-3-(4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl)-3-cyclopentylpropanenitrile; ...",C17H18N6,C17H18N6,Isomeric SMILES: C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,25126798,  2009-01-19
19,"GS-441524; 1191237-69-0; GS441524; (2R,3R,4S,5R)-2-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-carbonitrile; EVO984; ...",C12H13N5O4,C12H13N5O4,Isomeric SMILES: C1=C2C(=NC=NN2C(=C1)[C@]3([C@@H]([C@@H]([C@H](O3)CO)O)O)C#N)N,44468216,  2009-11-30
20,Lopinavir; 192725-17-0; ABT-378; Aluviran; Koletra; ...,C37H48N4O5,C37H48N4O5,Isomeric SMILES: CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,92727,  2005-06-01
21,Darunavir; 206361-99-1; Prezista; TMC114; TMC-114; ...,C27H37N3O7S,C27H37N3O7S,Isomeric SMILES: CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,213039,  2005-06-24
22,dexamethasone; 50-02-2; Decadron; Maxidex; Dexamethazone; ...,C22H29FO5,C22H29FO5,Isomeric SMILES: C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,5743,  2005-03-26
23,Arbidol; umifenovir; 131707-25-0; ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-(phenylsulfanylmethyl)indole-3-carboxylate; UNII-93M09WW4RU; ...,C22H25BrN2O3S,C22H25BrN2O3S,Isomeric SMILES: CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,131411,  2005-07-09
24,methylprednisolone; 83-43-2; Medrol; Metilprednisolone; Medrone; ...,C22H30O5,C22H30O5,Isomeric SMILES: C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,6741,  2005-03-26
25,TMC310911; 1000287-05-7; TMC-310911; UNII-0151W500HP; 0151W500HP; ...,C38H53N5O7S2,C38H53N5O7S2,Isomeric SMILES: CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC5=C(C=C4)N=C(S5)NC6CCN(CC6)C7CCCC7,53361968,  2011-09-21
26,Elbasvir; 1370468-36-2; MK-8742; UNII-632L571YDK; MK 8742; ...,C49H55N9O7,C49H55N9O7,Isomeric SMILES: CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC4=C(C=C3)N5[C@@H](OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)[C@@H]8CCCN8C(=O)[C@H](C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,71661251,  2013-08-26
27,hydroxychloroquine; 118-42-3; Plaquenil; Oxichloroquine; Hidroxicloroquina; ...,C18H26ClN3O,C18H26ClN3O,Isomeric SMILES: CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,3652,  2005-03-25
28,"Ruxolitinib; 941678-49-5; INCB018424; Ruxolitinib (INCB018424); (R)-3-(4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl)-3-cyclopentylpropanenitrile; ...",C17H18N6,C17H18N6,Isomeric SMILES: C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,25126798,  2009-01-19
29,"GS-441524; 1191237-69-0; GS441524; (2R,3R,4S,5R)-2-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-carbonitrile; EVO984; ...",C12H13N5O4,C12H13N5O4,Isomeric SMILES: C1=C2C(=NC=NN2C(=C1)[C@]3([C@@H]([C@@H]([C@H](O3)CO)O)O)C#N)N,44468216,  2009-11-30
30,enoxaparin; Clexane; Ardeparin; Bemiparin; SEMULOPARIN; ...,C26H42N2O37S5,C26H42N2O37S5,Isomeric SMILES: CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,772,  2005-06-23
